Severity,Name,Description,Link,Domain,Screenshot,Conditions,Suggestion,,,,,,,,,,,,,,,,,,
Medium,Search Icon and Placeholder Text Overlap in Search Bar,"On the Templates page, when clicking on the search bar, the search icon and the placeholder text overlap, making the text difficult to read and affecting the input experience.",https://gamma.app/templates,gamma.app,https://screenshots-gamma.s3.fr-par.scw.cloud/one.png,"Desktop - Mobile
Chrome - Firefox - Edge - Safari","1. Adjust the positioning of the search icon and placeholder text to prevent overlap.

2. Ensure proper padding and alignment within the search bar for different screen sizes.",,,,,,,,,,,,,,,,,,
Low,Incorrect Validation Message for Non-Existing Account on Forgot Password Page,"When a user attempts to reset the password for a non-existing account, the system displays a generic error message:
""We had a problem sending your reset password link. Please try again later.""
Instead of informing the user that the email is not associated with any account, the message may mislead users into thinking there is a system issue rather than an invalid email entry.",https://gamma.app/forgot,gamma.app,https://screenshots-gamma.s3.fr-par.scw.cloud/two.png,"Desktop - Mobile
Chrome - Firefox - Edge - Safari","1. Display a more informative validation message, such as:
""This email is not associated with any account. Please check your email or sign up.""

2. Ensure validation messages provide clear and actionable feedback to users.",,,,,,,,,,,,,,,,,,
Low,Cursor Jumps to Start When Clicking Eye Icon in Password Field,"When a user clicks the eye icon to toggle password visibility in the Password field (both on the Login and Account Creation pages), the cursor unexpectedly moves to the beginning of the input field instead of retaining its current position. This disrupts the user experience, making it difficult to edit or review the password properly.",https://gamma.app/signin,gamma.app,https://screenshots-gamma.s3.fr-par.scw.cloud/three.png,-,"1. Ensure that toggling the eye icon does not alter the cursor position.

2. Maintain the cursor's current placement when switching between masked and visible password states.",,,,,,,,,,,,,,,,,,
High,"""New from Blank"" and ""Import"" dropdowns missing on mobile","In the ""Gammas"" section, the ""New from Blank"" and ""Import"" dropdowns allow users to create new projects or import existing ones on desktop. However, these options are missing on mobile with no alternative access method, preventing users from starting new projects or importing content.",https://gamma.app/,gamma.app,https://screenshots-gamma.s3.fr-par.scw.cloud/four.png,-,"Provide an alternative way to access these options on mobile, such as placing them in a collapsible menu or an accessible section.",,,,,,,,,,,,,,,,,,
High,"""Publish/Present"" button, Theme button, and AI Icon missing on mobile","On desktop, the ""Publish"" and ""Present"" buttons appear in the top-right corner, allowing users to publish or present their work. These buttons contain dropdown options such as:

1. Publish Dropdown:
- Publish Site
- Add Custom Domain
- Publish Current Page
- Preview Current Page

2. Present Dropdown:
- In this Tab
- Full Screen
- Presenter View
- Share a Follow Link

Additionally, the Theme Button, which allows users to change the appearance of their presentations, and the AI Icon (Edit All Cards with AI), which provides AI-powered editing features, are also missing on mobile. There is no alternative way to access these functions.",https://gamma.app/,gamma.app,https://screenshots-gamma.s3.fr-par.scw.cloud/five.png,-,"Implement a mobile-friendly version of the Publish/Present buttons, Theme button, and AI editing icon, either in a dropdown or a dedicated mobile menu.",,,,,,,,,,,,,,,,,,
Low,Broken Image Icon Appears After Deleting All AI-Generated Images,"When all AI-generated images are deleted from the side panel in the AI Images section, the panel turns blank, but a broken image icon appears in the top-left corner instead of a proper placeholder or reset state.",https://gamma.app/#images,gamma.app,https://screenshots-gamma.s3.fr-par.scw.cloud/seven.png,-,"1. Implement a proper placeholder or message indicating no images are available.

2. Ensure that after all images are deleted, the UI resets cleanly without referencing a missing image.",,,,,,,,,,,,,,,,,,
High,API response is shown from sign up page,"User is shown the API response, when tries to sign-up using existing email",https://smith.ai/receptionists/almost-there?utm_source=top_banner&utm_medium=website&utm_campaign=happycallers,smith.ai,https://screenshots-smithai.s3.fr-par.scw.cloud/3.png,,,,,,,,,,,,,,,,,,,,
Medium,20 characters requirement not enforced,"20 characters are required, but the system accepts 6–7 characters and still updates the opening hours",https://app.smith.ai/vr/va-business-info/,smith.ai,https://screenshots-smithai.s3.fr-par.scw.cloud/6.png,-,-,,,,,,,,,,,,,,,,,,
Low,The show passoword option gets triggered when user clicks on the enter from the keyboard,"If user clicks enter from keyboard after entering email and password, instead of hit on the login button, the password visibility option gets triggered",https://app.smith.ai/log-in/,smith.ai,https://screenshots-smithai.s3.fr-par.scw.cloud/1.png,,,,,,,,,,,,,,,,,,,,
Medium,The 'Name' field in team directory does not have a validation process,"The system accepts numeric and random text inputs, causing data inconsistency",https://app.smith.ai/vr/call-handling/,smith.ai,https://screenshots-smithai.s3.fr-par.scw.cloud/2.png,,,,,,,,,,,,,,,,,,,,
Low,The 'Friendly Name' field in direct transfers does not have a validation process,"The system accepts numeric and random text inputs, causing data inconsistency",https://app.smith.ai/vr/call-handling/,smith.ai,https://screenshots-smithai.s3.fr-par.scw.cloud/4.png,,,,,,,,,,,,,,,,,,,,
Low,Inconsistent Font Size Between Bullet Point Headings and Numbering,"The content is displayed in bullet points, where each bullet point has a heading. The font size of the headings is 32px, while the numbering preceding the headings is 18px. This results in a visual inconsistency where the numbering appears disproportionately small compared to the heading text.",https://smith.ai/receptionists/terms,smith.ai,https://screenshots-smithai.s3.fr-par.scw.cloud/one.png,Desktop - Mobile,Chrome - Firefox - Edge - Safari,"1. The inconsistent font sizes reduce the readability and aesthetic uniformity of the pages.

2. The numbering appears misaligned and less noticeable compared to the headings, which may affect the clarity of structured content.

3. The page may look unpolished or unprofessional due to the visual imbalance.","1. Ensure that the numbering and heading sizes are visually proportional.

2. Either increase the numbering font size or decrease the heading font size to maintain consistency.

3. Use a typographical hierarchy that maintains clarity while aligning with the website’s design style.",,,,,,,,,,,,,,,,
Medium,"Transparency in Coverage Links Lead to ""Access Denied"" Error","On the Transparency in Coverage page (accessible from the footer), two links are provided. However, clicking on either of them results in an XML error message instead of the expected content.",https://smith.ai/transparency-in-coverage,smith.ai,https://screenshots-smithai.s3.fr-par.scw.cloud/two.png,Desktop - Mobile,Chrome - Firefox - Edge - Safari,"1. Users are unable to access the intended Transparency in Coverage information.

2. This could lead to compliance issues if this information is legally required to be publicly available.

3. Creates a poor user experience, reducing trust in the website's credibility.","1. Verify the permissions and access settings for the linked documents.

2. Ensure the links point to publicly accessible resources.

3. If the content is restricted intentionally, display a proper message informing users instead of showing an XML error.",,,,,,,,,,,,,,,,
Medium,Submission with Spaces in Business Name Field Causes Modal to Become Blank,"For all forms on the following links, when all fields are filled correctly but the Business Name field contains only spaces, clicking 'Send' does not display the expected 'Thank You' message. Instead, the modal becomes blank and remains on the screen indefinitely.",https://smith.ai/features/24-7-answering-service,smith.ai,https://screenshots-smithai.s3.fr-par.scw.cloud/three.png,Desktop - Mobile,Chrome - Firefox - Edge - Safari,"1. Creates a poor user experience as there is no confirmation of successful form submission.

2. Users may think the form is broken or that their submission failed.

3. May cause confusion and reduce engagement with the form.","1. Implement proper validation to prevent spaces-only input in the Business Name field.

2. Ensure an appropriate error message is displayed instead of allowing a blank submission.

3. Fix the modal behavior so that it either shows the Thank You message or closes properly if submission is invalid.",,,,,,,,,,,,,,,,
Medium,"Low Contrast on ""Return to Login"" Button Makes Text Hard to Read","On the Password Reset / Verification Sent page, the ""Return to Login"" button has a font color and background color that are both orange, making the text difficult to read. The text becomes properly visible only when hovered over, as the font color changes to white.",https://app.smith.ai/accounts/password-reset/verification-sent/,smith.ai,https://screenshots-smithai.s3.fr-par.scw.cloud/four.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=SCW8KQ0NWFF3MBTK7MG4%2F20250316%2Ffr-par%2Fs3%2Faws4_request&X-Amz-Date=20250316T220921Z&X-Amz-Expires=3598&X-Amz-Signature=52c9aea1beb3ed53835c28449fadd54d4111462d7086fe166344aace24ab608f&X-Amz-SignedHeaders=host&x-id=GetObject,Desktop,Chrome - Firefox - Edge,"1. Poor readability affects usability, making it harder for users to navigate back to the login page.

2. May cause accessibility issues for users with visual impairments or color blindness.

3. Creates an inconsistent user experience compared to other buttons on the site.","1. Increase contrast by changing either the font color or button background color to ensure readability.

2. Follow WCAG (Web Content Accessibility Guidelines) by maintaining a minimum 4.5:1 contrast ratio for text against its background.",,,,,,,,,,,,,,,,
High,"""Learn More"" button above the footer on Industry & Company sections is non-functional",The ‘Learn More’ button does not direct to anything.,https://smith.ai/industries/legal-law-firms-answering-service,smith.ai,https://screenshots-smithai.s3.fr-par.scw.cloud/seven.png,Desktop - Mobile,Chrome - Firefox - Edge - Safari,"1. User Confusion – Clicking the button does not lead anywhere, leading to a poor user experience.

2. Navigation Issue – If this button is meant to provide additional information, its non-functionality prevents users from accessing that content.

3. Potential Conversion Loss – If the button is supposed to guide users to important pages (e.g., pricing, contact, or sign-up), a non-functional button could lead to missed opportunities.","1. Ensure the ""Learn More"" button is correctly linked to a relevant page.

2. If no additional content exists, consider removing the button to avoid confusion.

3. Verify that JavaScript or CSS issues are not preventing the button from functioning.",,,,,,,,,,,,,,,,
High,Invalid Email/Mobile Input Displays Raw API Response Instead of UI Error Message on the following pages,"When a user enters invalid data in both the Email Address and Mobile Number fields and clicks the ""Get Started Now"" button, they are redirected to a blank page displaying a raw API response in JSON format instead of a proper error message.",https://smith.ai/receptionists/almost-there,smith.ai,https://screenshots-smithai.s3.fr-par.scw.cloud/five.png,Desktop - Mobile,Chrome - Firefox - Edge - Safari,"1. Poor User Experience: Regular users will not understand JSON error messages.

2. Unprofessional Display: Exposing internal API responses on the front end makes the system look unpolished.

3. Potential Security Concern: While it does not expose sensitive data, it reveals backend error-handling details.

4. Functionality Issue: Users may not understand how to correct their input due to the lack of a proper UI message.","1. Display clear, user-friendly error messages on the UI.

2. Prevent raw API responses from being exposed.

3. Remove the ""Pretty-print"" checkbox from the user interface.",,,,,,,,,,,,,,,,
Medium,Validation message on Login page is cropped on mobile and not fully visible,"When a user tries to Sign In with Google on mobile using an email that is not registered on Smith.ai, the validation message is cropped and not fully visible. Additionally, users cannot zoom out or scroll to view the complete message. The only way to see it fully is by rotating the screen to landscape mode.",https://app.smith.ai/log-in/,smith.ai,https://screenshots-smithai.s3.fr-par.scw.cloud/six.png,Mobile,Chrome - Safari,"1. User Frustration – Users may struggle to understand the error message.

2. Accessibility Issue – Not all users may think of rotating their screens to read the full message.

3. Potential Support Requests – Users might assume the site is broken and contact support.","1. Ensure that validation messages wrap correctly within the screen width.

2. Allow scrolling or zooming to view the full message.

3. Adjust the font size or container width to prevent cropping.",,,,,,,,,,,,,,,,
Medium,Some External Article Links Display a 404 Error,"Certain external article links on the Press Releases page lead to a ""404 Not Found"" error, indicating that the content is either missing or has been removed from the source website.
",https://smith.ai/press,smith.ai,https://screenshots-smithai.s3.fr-par.scw.cloud/eight.png,Desktop - Mobile,Chrome - Firefox - Edge - Safari,"Users attempting to access these articles encounter dead links, which reduces credibility and disrupts the experience of accessing relevant press coverage.",Regularly audit external links and either update them with working URLs or remove broken ones to maintain a seamless user experience.,,,,,,,,,,,,,,,,
High,Buy Button on Branding page leads to a page not found error,"On the Branding Page inside Settings, clicking the text Button leads to an error. 'Page Not Found'",https://app.squareup.com/dashboard/payment-links/settings/branding,squareup,https://screenshots-square.s3.fr-par.scw.cloud/1.png,"Desktop & Mobile, Chrome, Firefox, Edge, Safari",Investigate the handling between pages,,,,,,,,,,,,,,,,,,
Medium,Large Businesses Page 404,"On the Home Page, clicking on the 'Large Businesses' link leads to a 404",https://squareup.com/us/en,squareup,https://screenshots-square.s3.fr-par.scw.cloud/2.png,"Desktop & Mobile, all major browsers",-,,,,,,,,,,,,,,,,,,
Medium,Learn more Button redirect to the Home Page,On the Sign in Page when user the user Click on Learn More it does not show any content and redirects to the Home Page,https://app.squareup.com/login?lang_code=en-us,squareup,https://screenshots-square.s3.fr-par.scw.cloud/3.png,"Desktop & Mobile, all browsers","include the Content for ""Page"" For Learn More",,,,,,,,,,,,,,,,,,
Medium,Read Article Links issue,"On the Marketing page, moving some 'Read Article' links are non-clickable",https://squareup.com/us/en/marketing,squareup,https://screenshots-square.s3.fr-par.scw.cloud/4.png,"Desktop, all browsers",Investigate the iframe event handling and implement fixes to ensure smooth article reading functionality.,,,,,,,,,,,,,,,,,,
Medium,Misaligned Order Buttons,"On the Gift Cards Pricing page, the 'Order' Buttons are not aligned",https://squareup.com/us/en/gift-cards/pricing,squareup,https://screenshots-square.s3.fr-par.scw.cloud/5.png,"Desktop, all browsers",Reorganize the layout to ensure that content is properly aligned and structured.,,,,,,,,,,,,,,,,,,
Medium,Space-Saving POS Scroll Issue,"On the Hardware Kiosk page, the ""Looking for a space-saving POS?"" section scrolls left until it reaches a black area, disrupting the intended view.",https://squareup.com/us/en/hardware/kiosk,squareup,https://screenshots-square.s3.fr-par.scw.cloud/6.png,"Desktop, all major browsers",Adjust horizontal scroll boundaries to prevent scrolling into the undesired black area.,,,,,,,,,,,,,,,,,,
Low,Privacy Policy Color Change,"The Privacy Policy link on the Hardware Kiosk page changes its color to black when hovering over it, causing visual inconsistency.",https://squareup.com/us/en/hardware/kiosk,squareup,https://screenshots-square.s3.fr-par.scw.cloud/8.png,"Desktop & Mobile, all browsers",Update the CSS styling to maintain a consistent link color across all states.,,,,,,,,,,,,,,,,,,
Low,"Misaligned ""Stay Up to Date"" Section","On the Fitness industry page, the ""Stay Up to Date"" div is misaligned (shifted left), affecting the visual balance of the page.",https://squareup.com/us/en/industry/fitness,squareup,https://screenshots-square.s3.fr-par.scw.cloud/8.png,"Desktop & Mobile, all browsers",Center-align the section to enhance visual consistency.,,,,,,,,,,,,,,,,,,
Low,FAQ Toggle Double Open Issue,"On the Software page, clicking the ""+"" in the FAQ section causes both FAQ divs to open simultaneously, leading to a confusing display.",https://squareup.com/us/en/software,squareup,https://screenshots-square.s3.fr-par.scw.cloud/9.png,"Desktop & Mobile, all major browsers",Modify the FAQ toggle logic to ensure that only the selected FAQ opens at a time.,,,,,,,,,,,,,,,,,,
Medium,Get Details link 404,"On the Restaurants Page, in the FAQ section, under the 'How long will it take to get started with Square for Restaurants?' question, clicking on the 'Get the details' link redirects to a 404",https://squareup.com/us/en/point-of-sale/restaurants,squareup,https://screenshots-square.s3.fr-par.scw.cloud/9.png,"Desktop & Mobile, all major browsers",-,,,,,,,,,,,,,,,,,,
Low,Mandatory form fields lack asterisks (*) for indication throughout the site.,"The forms in the site don’t have asterisks (*) on mandatory fields, user is updated later when clicked on the submission button.",https://app.attio.com/welcome/sign-in,attio,https://screenshots-attio.s3.fr-par.scw.cloud/three.png,-,-,,,,,,,,,,,,,,,,,,
Low,Navigation links lack visual indication of the current page,"The navigation links do not highlight, when opened from the main menu and footer.",http://www.attio.com,attio,https://screenshots-attio.s3.fr-par.scw.cloud/one.png,-,-,,,,,,,,,,,,,,,,,,
Low,No hover or selected effect in Talk to sales dropdown,The dropdown options of Region & No of users in the talk to sales form has no hover and selected effect in the dropdown options,http://www.attio.com,attio,https://screenshots-attio.s3.fr-par.scw.cloud/two.png,-,-,,,,,,,,,,,,,,,,,,
Low,The bottom border is missing under the main navigation on the page.,The bottom border under the main navigation is missing on the page www.attio.com/experts. This inconsistency among pages affects UI experience.,https://attio.com/experts,attio,https://screenshots-attio.s3.fr-par.scw.cloud/four.png,-,-,,,,,,,,,,,,,,,,,,
Low,The validation messages on the Expert Program form don’t match the other site form on page,The validation messages don’t match the design of other forms validation messages on the site.,https://attio.com/partners/expert-program,attio,https://screenshots-attio.s3.fr-par.scw.cloud/five.png,-,-,,,,,,,,,,,,,,,,,,
Medium,"The messages from the chat appear without background, when new messages appear.","If a user closes the chatbot, and some new messages appear, it shows a complete message without a chat pop-up background.",http://www.attio.com,attio,https://screenshots-attio.s3.fr-par.scw.cloud/six.png,-,-,,,,,,,,,,,,,,,,,,
High,The homepage graphics are not fully visible in mobile view.,The homepage graphics are not fully visible in mobile view.,http://www.attio.com,attio,https://screenshots-attio.s3.fr-par.scw.cloud/seven.png,-,-,,,,,,,,,,,,,,,,,,
Medium,"Validation message incorrectly displays 'Expected number, received NaN' when the year is not selected.","The form on the “Are you eligible” shows the following validation message for the Year dropdown it states as “Expected number, received nan”",https://attio.com/startups,attio,https://screenshots-attio.s3.fr-par.scw.cloud/eight.png,-,-,,,,,,,,,,,,,,,,,,
Medium,In the signIn/up forms the password field doesn’t hide the password with asterisks (****),"In the sign-In/Up pages the password field display the passwords as simple text, it should be in password format only showing asterisks (******).",https://app.attio.com/auth/,attio,https://screenshots-attio.s3.fr-par.scw.cloud/nine.png,-,-,,,,,,,,,,,,,,,,,,
High,"""Our Work"" page - Carousel not auto-running and content cropping","On the ""Our Work"" page, the banner section's carousel is not auto-running, and some content within the carousel is being cropped.",https://www.theodo.co.uk/clients,theodo,https://screenshots-theodo.s3.fr-par.scw.cloud/two.png,"Desktop, all major browsers",Enable auto-play functionality for the carousel and adjust content positioning to ensure all elements are fully visible.,,,,,,,,,,,,,,,,,,
Medium,UK MVP Testimonial Logos Invalid,The MVP testimonial logos are not valid or displayed correctly.,https://www.theodo.co.uk/services/launching-mvp,theodo,https://screenshots-theodo.s3.fr-par.scw.cloud/eleven.png,"Desktop & Mobile, All major browsers",Replace or update the testimonial logos with valid images.,,,,,,,,,,,,,,,,,,
High,"""Our Services"" dropdown menu - ""Fashion Tech"" submenu not clickable","In the header, the ""Our Services"" dropdown contains a ""Fashion Tech"" submenu that is visible but not clickable.",https://www.theodo.co.uk/,theodo,https://screenshots-theodo.s3.fr-par.scw.cloud/one.png,"All devices, all browsers","Ensure the ""Fashion Tech"" submenu is correctly linked and clickable.",,,,,,,,,,,,,,,,,,
Medium,Validation messages not visible on Contact Us form,"The validation messages on the Contact Us form are difficult to read due to poor color contrast, making it hard for users to identify errors.",https://www.theodo.co.uk/contact,theodo,https://screenshots-theodo.s3.fr-par.scw.cloud/three.png,"All devices, all browsers",Improve the color contrast of validation messages to ensure readability.,,,,,,,,,,,,,,,,,,
Medium,First and Last name fields accept invalid characters on Contact Us form,"The First Name and Last Name fields on the Contact Us form accept numbers and special characters (e.g., $$$11), which is incorrect.",https://www.theodo.co.uk/contact,theodo,https://screenshots-theodo.s3.fr-par.scw.cloud/four.png,"All devices, all browsers",Implement proper validation to restrict input to alphabetical characters only.,,,,,,,,,,,,,,,,,,
High,Contact Us form accepts invalid email addresses,"The email field on the Contact Us form does not properly validate input, allowing entries like $$$@gmail.com, which are not valid email formats.",https://www.theodo.co.uk/contact,theodo,https://screenshots-theodo.s3.fr-par.scw.cloud/eight.png,"All devices, all browsers",Implement proper email validation to ensure only correctly formatted email addresses are accepted.,,,,,,,,,,,,,,,,,,
Medium,Contact email not clickable on Contact Us page,"The email address displayed on the Contact Us page is not clickable, preventing users from directly opening their email client.",https://www.theodo.co.uk/contact,theodo,https://screenshots-theodo.s3.fr-par.scw.cloud/nine.png,"All devices, all browsers",Wrap the email address in a mailto: link to enable click functionality.,,,,,,,,,,,,,,,,,,
Medium,URLs in Privacy Policy page are not clickable,The Privacy Policy page contains multiple URLs within the content that are displayed as plain text instead of clickable links.,https://www.theodo.co.uk/privacy-policy,theodo,https://screenshots-theodo.s3.fr-par.scw.cloud/five.png,"All devices, all browsers",Ensure all URLs in the content are wrapped in anchor (<a>) tags to make them clickable.,,,,,,,,,,,,,,,,,,
Medium,Footer content misaligned with spacing issues on mobile,"The footer content is not properly aligned and has uneven spacing on mobile screens, affecting readability and visual balance.",https://www.theodo.co.uk/,theodo,https://screenshots-theodo.s3.fr-par.scw.cloud/ten.png,"Mobile devices, all browsers",Adjust the footer layout to ensure proper alignment and consistent spacing across mobile devices.,,,,,,,,,,,,,,,,,,
